Sample Number,Value[1],Value[2]
0,73,542
1,53,541
2,67,541
3,98,540
4,128,537
5,164,539
6,122,540
7,70,539
8,37,541
9,64,538
10,125,541
11,141,540
12,136,528
13,93,532
14,57,539
15,71,536
16,109,538
17,164,533
18,155,537
19,113,539
20,61,540
21,40,542
22,86,529
23,115,543
24,127,551
25,0,553
26,0,551
27,0,576
28,0,596
29,0,624
30,0,650
31,0,663
32,0,673
33,0,695
34,0,703
35,0,707
36,0,717
37,0,698
38,0,723
39,0,714
40,0,709
41,0,718
42,0,715
43,0,717
44,0,709
45,0,745
46,0,712
47,0,712
48,0,723
49,0,715
50,0,710
51,0,680
52,0,709
53,0,710
54,0,709
55,0,697
56,0,702
57,0,709
58,0,739
59,0,705
60,0,704
61,0,696
62,0,701
63,0,699
64,0,701
65,0,703
66,0,696
67,0,725
68,0,696
69,0,697
70,0,693
71,0,691
72,0,693
73,0,683
74,0,637
75,0,693
76,0,695
77,0,684
78,0,699
79,0,677
80,0,691
81,0,689
82,0,688
83,0,691
84,0,688
85,0,685
86,0,693
87,0,695
88,0,696
89,0,700
90,0,669
91,0,689
92,0,693
93,203,706
94,297,738
95,357,769
96,394,747
97,432,742
98,446,734
99,465,727
100,439,730
101,421,713
102,432,725
103,400,714
104,385,709
105,382,702
106,380,697
107,386,701
108,388,703
109,400,696
110,391,719
111,384,699
112,383,695
113,393,691
114,390,685
115,396,693
116,397,685
117,399,686
118,394,685
119,398,694
120,400,685
121,392,681
122,390,677
123,389,674
124,388,677
125,386,674
126,383,616
127,381,674
128,380,683
129,381,671
130,375,674
131,371,672
132,323,673
133,209,682
134,0,695
135,0,697
136,0,695
137,0,695
138,0,687
139,0,683
140,0,695
141,0,715
142,0,755
143,0,728
144,0,733
145,0,732
146,0,731
147,0,731
148,0,728
149,0,735
150,0,727
151,0,730
152,0,727
153,0,727
154,0,720
155,0,769
156,0,723
157,0,729
158,0,725
159,0,717
160,0,720
161,0,718
162,0,715
163,0,716
164,0,713
165,0,720
166,0,710
167,0,710
168,0,688
169,0,711
170,0,709
171,0,649
172,0,708
173,0,709
174,0,707
175,0,704
176,0,711
177,0,701
178,0,707
179,0,704
180,0,707
181,0,703
182,0,703
183,0,705
184,0,700
185,0,703
186,0,703
187,0,704
188,0,701
189,0,700
190,0,703
191,0,723
192,0,727
193,0,724
194,0,749
195,377,769
196,397,763
197,419,771
198,433,749
199,437,733
200,441,741
201,446,735
202,444,730
203,442,724
204,431,721
205,419,717
206,422,717
207,416,727
208,418,708
209,425,703
210,425,709
211,423,711
212,419,707
213,417,705
214,412,702
215,406,707
216,389,701
217,390,697
218,394,703
219,382,704
220,383,699
221,374,703
222,330,701
223,263,704
224,115,696
225,0,705
226,0,704
227,0,714
228,0,711
229,0,711
230,0,711
231,0,728
232,0,725
233,0,721
234,0,723
235,0,722
236,0,725
237,0,725
238,0,728
239,0,722
240,0,721
241,0,715
242,0,716
243,0,714
244,0,732
245,0,739
246,0,736
247,0,733
248,0,732
249,0,737
250,0,719
251,0,727
252,0,725
253,0,720
254,0,716
255,0,715
256,0,712
257,0,707
258,0,707
259,0,713
260,0,709
261,0,721
262,0,711
263,0,720
264,0,709
265,0,709
266,0,710
267,0,701
268,0,703
269,0,704
270,0,699
271,0,684
272,0,705
273,0,708
274,0,733
275,0,703
276,0,708
277,0,699
278,0,705
279,0,702
280,0,703
281,0,705
282,0,699
283,0,697
284,0,669
285,0,695
286,0,705
287,0,707
288,0,697
289,0,697
290,0,695
291,0,704
292,0,699
293,0,699
294,184,714
295,245,741
296,310,739
297,363,735
298,390,751
299,391,711
300,401,702
301,387,703
302,390,703
303,395,729
304,395,703
305,407,699
306,397,691
307,395,689
308,391,681
309,389,691
310,387,683
311,380,679
312,384,679
313,385,677
314,387,679
315,384,680
316,390,677
317,387,676
318,388,677
319,387,679
320,387,674
321,384,675
322,379,679
323,373,670
324,373,673
325,351,675
326,363,674
327,371,678
328,282,679
329,130,695
330,34,727
331,0,744
332,0,734
333,0,731
334,0,714
335,0,726
336,0,724
337,0,722
338,0,723
339,0,720
340,0,715
341,0,712
342,0,699
343,0,707
344,0,707
345,0,703
346,0,703
347,0,711
348,0,732
349,0,735
350,0,736
351,0,734
352,0,739
353,0,739
354,0,740
355,0,734
356,0,720
357,0,731
358,0,730
359,0,732
360,0,734
361,0,731
362,0,720
363,0,725
364,0,723
365,0,725
366,0,721
367,0,723
368,0,715
369,0,717
370,64,715
371,165,699
372,187,716
373,155,717
374,212,716
375,15,717
376,0,714
377,0,715
378,0,715
379,0,717
380,0,728
381,0,714
382,0,713
383,0,710
384,0,711
385,0,710
386,0,711
387,0,710
388,0,709
389,0,706
390,0,709
391,0,708
392,0,714
393,7,737
394,256,771
395,369,766
396,377,755
397,392,757
398,398,737
399,399,725
400,380,740
401,392,720
402,419,731
403,433,721
404,407,715
405,371,699
406,353,709
407,400,704
408,457,705
409,468,703
410,417,707
411,352,701
412,328,701
413,366,694
414,430,698
415,461,693
416,430,698
417,377,694
418,330,698
419,340,691
420,405,691
421,467,692
422,462,693
423,387,685
424,298,689
425,304,692
426,179,702
427,0,704
428,0,705
429,0,697
430,0,708
431,0,718
432,0,715
433,0,685
434,0,707
435,0,710
436,0,711
437,0,711
438,0,711
439,0,706
440,0,708
441,0,708
442,0,715
443,0,729
444,0,737
445,0,757
446,0,737
447,0,735
448,0,684
449,0,745
450,0,725
451,0,744
452,0,731
453,0,729
454,0,727
455,0,728
